id,screenName,text,created,isRetweet,retweetCount,type
868615300551393300,ElEvangelioC,"Venezuela necesita un cambio, y no podemos quedarnos de brazos cruzados ante ello. ¡Debemos unirnos! #MegaSopaZulia",2017-05-27T23:50:00Z,FALSE,20,change
86861301352337e4,rjvenez,EL cierre de RCTV significó apagar la voz y la imagen de la democracia en Venezuela. A partir de allí todo cambió a favor de la dictadura.,2017-05-27T23:40:55Z,FALSE,0,change
868613005193465900,NaranjaRA,Edgar Ramírez: La voluntad de cambio en Venezuela es irreversible,2017-05-27T23:40:53Z,FALSE,20,change
868612585628872700,NDtitulares,"Capriles, a 10 años del cierre de RCTV: ¿Qué cambió o mejoró en Venezuela? ¡Nada! - https://t.co/W2GK4kW40A https://t.co/YkIJDbxYO9",2017-05-27T23:39:13Z,FALSE,7,change
868611543411327e3,avicla,Cambio Membresia 04146535347 https://t.co/a2oUtT0AXs #Clasificados #Venezuela,2017-05-27T23:35:04Z,FALSE,0,change
868611328226840600,iEveryTweets,"“Debes ser el cambio que deseas ver en el mundo”( Gandhi), y es exactamente eso lo que tu representas para Venezuela  #LiberenAAnthony",2017-05-27T23:34:13Z,FALSE,4,change
868611291610570800,herctorjmv,@francishir @trafficPUERTO @libertadxmi @luisguaiq @moisesg2930 Venezuela cambio tanto que ahora son los opositores q hablan como marginal,2017-05-27T23:34:04Z,FALSE,0,change
868610967705464800,coromototwitte1,@AlanBri08771592 @la_patilla @LucioQuincioC Bello el cambio q quieres..  muerte. Violencia. Bien bueno. Vamos a sal… https://t.co/gKoKqjM6Et,2017-05-27T23:32:47Z,FALSE,4,change
868610605913165800,desagabriel1383,Venezuela necesita URGENTE un cambio a nivel social.,2017-05-27T23:31:21Z,FALSE,12,change
868609517147349e3,LucioHerrera,Hoy en el recuerdo imperecedero de #RCTV compartimos en Unidad con la convicción de que el #cambio llegará pronto a… https://t.co/EmjXiROr0x,2017-05-27T23:27:01Z,FALSE,15,change
868609500865065e3,ebattistini,Esto hay que condenarlo. No podemos convertirnos en lo mismo contra lo que estamos luchando ¡Así no es la Venezuela… https://t.co/OLHTjlGxPw,2017-05-27T23:26:57Z,FALSE,5,change
868608214824308700,ddigital24,"Capriles al Gobierno: ¿Qué cambió o mejoró en Venezuela luego del cierre de RCTV? https://t.co/zfQj3bfduM""",2017-05-27T23:21:51Z,FALSE,0,change
868606894658781200,JAIMETROBO,"El Pueblo de Venezuela con coraje, amor por la libertad y esperanza de cambio profundo es un ejemplo de civismo. Ti… https://t.co/eYLE7wNMVS",2017-05-27T23:16:36Z,FALSE,21,change
868606811137605600,josenogueraa,El cambio es indetenible #Venezuela,2017-05-27T23:16:16Z,FALSE,0,change
868606325214916600,andiegru,"#27M – Hoy la concentración en contra de la censura fue un respiro del país caótico. Se sintió la vibra de cambio, de una nueva Venezuela.",2017-05-27T23:14:20Z,FALSE,0,change
868605907885854700,lacascada4,"La moneda otra vez,es decir el bolívar,con su nuevo cambio en la banda para optar a$,entre 1800 y 2200,que bárbaros,que plaga Venezuela",2017-05-27T23:12:41Z,FALSE,0,change
868603257362546700,Cunavichero,"Por un cambio y una #Venezuela unida, escucha #sentirPatriota letra, música y voz de Orlando Augusto #cunavichero  #Arpa",2017-05-27T23:02:09Z,FALSE,0,change
868602735675027500,avicla,Membresia de Oasis Club la Cambio por Telefono https://t.co/HFZR0GWMku #Clasificados #Venezuela,2017-05-27T23:00:04Z,FALSE,0,change
