word,palabra,sentiment,lexicon,score
abacus,ábaco,trust,nrc,NA
abandon,abandonar,fear,nrc,NA
abandon,abandonar,negative,nrc,NA
abandon,abandonar,sadness,nrc,NA
abandoned,abandonado,anger,nrc,NA
abandoned,abandonado,fear,nrc,NA
abandoned,abandonado,negative,nrc,NA
abandoned,abandonado,sadness,nrc,NA
abandonment,abandono,anger,nrc,NA
abandonment,abandono,fear,nrc,NA
abandonment,abandono,negative,nrc,NA
abandonment,abandono,sadness,nrc,NA
abandonment,abandono,surprise,nrc,NA
abba,Abba,positive,nrc,NA
abbot,abad,trust,nrc,NA
abduction,secuestro,fear,nrc,NA
abduction,secuestro,negative,nrc,NA
abduction,secuestro,sadness,nrc,NA
abduction,secuestro,surprise,nrc,NA
aberrant,aberrante,negative,nrc,NA
aberration,aberración,disgust,nrc,NA
aberration,aberración,negative,nrc,NA
abhor,aborrecer,anger,nrc,NA
abhor,aborrecer,disgust,nrc,NA
abhor,aborrecer,fear,nrc,NA
abhor,aborrecer,negative,nrc,NA
abhorrent,aborrecible,anger,nrc,NA
abhorrent,aborrecible,disgust,nrc,NA
abhorrent,aborrecible,fear,nrc,NA
abhorrent,aborrecible,negative,nrc,NA
ability,capacidad,positive,nrc,NA
abject,abyecto,disgust,nrc,NA
abject,abyecto,negative,nrc,NA
abnormal,anormal,disgust,nrc,NA
abnormal,anormal,negative,nrc,NA
abolish,abolir,anger,nrc,NA
abolish,abolir,negative,nrc,NA
abolition,abolición,negative,nrc,NA
abominable,abominable,disgust,nrc,NA
abominable,abominable,fear,nrc,NA
abominable,abominable,negative,nrc,NA
abomination,abominación,anger,nrc,NA
abomination,abominación,disgust,nrc,NA
abomination,abominación,fear,nrc,NA
abomination,abominación,negative,nrc,NA
abort,abortar,negative,nrc,NA
abortion,aborto,disgust,nrc,NA
abortion,aborto,fear,nrc,NA
abortion,aborto,negative,nrc,NA
abortion,aborto,sadness,nrc,NA
abortive,abortivo,negative,nrc,NA
abortive,abortivo,sadness,nrc,NA
abovementioned,anteriormente mencionado,positive,nrc,NA
abrasion,abrasión,negative,nrc,NA
abrogate,abrogar,negative,nrc,NA
abrupt,abrupto,surprise,nrc,NA
abscess,absceso,negative,nrc,NA
abscess,absceso,sadness,nrc,NA
absence,ausencia,fear,nrc,NA
absence,ausencia,negative,nrc,NA
absence,ausencia,sadness,nrc,NA
absent,ausente,negative,nrc,NA
absent,ausente,sadness,nrc,NA
absentee,ausente,negative,nrc,NA
absentee,ausente,sadness,nrc,NA
absenteeism,absentismo,negative,nrc,NA
absolute,absoluto,positive,nrc,NA
absolution,absolución,joy,nrc,NA
absolution,absolución,positive,nrc,NA
absolution,absolución,trust,nrc,NA
absorbed,absorbido,positive,nrc,NA
absurd,absurdo,negative,nrc,NA
absurdity,absurdo,negative,nrc,NA
abundance,abundancia,anticipation,nrc,NA
abundance,abundancia,disgust,nrc,NA
abundance,abundancia,joy,nrc,NA
abundance,abundancia,negative,nrc,NA
abundance,abundancia,positive,nrc,NA
abundance,abundancia,trust,nrc,NA
abundant,abundante,joy,nrc,NA
abundant,abundante,positive,nrc,NA
abuse,abuso,anger,nrc,NA
abuse,abuso,disgust,nrc,NA
abuse,abuso,fear,nrc,NA
abuse,abuso,negative,nrc,NA
abuse,abuso,sadness,nrc,NA
abysmal,abismal,negative,nrc,NA
abysmal,abismal,sadness,nrc,NA
abyss,abismo,fear,nrc,NA
abyss,abismo,negative,nrc,NA
abyss,abismo,sadness,nrc,NA
academic,académico,positive,nrc,NA
academic,académico,trust,nrc,NA
academy,academia,positive,nrc,NA
accelerate,acelerar,anticipation,nrc,NA
acceptable,aceptable,positive,nrc,NA
acceptance,aceptación,positive,nrc,NA
accessible,accesible,positive,nrc,NA
accident,accidente,fear,nrc,NA
accident,accidente,negative,nrc,NA
accident,accidente,sadness,nrc,NA
accident,accidente,surprise,nrc,NA
accidental,accidental,fear,nrc,NA
accidental,accidental,negative,nrc,NA
accidental,accidental,surprise,nrc,NA
accidentally,accidentalmente,surprise,nrc,NA
accolade,espaldarazo,anticipation,nrc,NA
accolade,espaldarazo,joy,nrc,NA
accolade,espaldarazo,positive,nrc,NA
accolade,espaldarazo,surprise,nrc,NA
accolade,espaldarazo,trust,nrc,NA
accommodation,alojamiento,positive,nrc,NA
accompaniment,acompañamiento,anticipation,nrc,NA
accompaniment,acompañamiento,joy,nrc,NA
accompaniment,acompañamiento,positive,nrc,NA
accompaniment,acompañamiento,trust,nrc,NA
accomplish,realizar,joy,nrc,NA
accomplish,realizar,positive,nrc,NA
accomplished,consumado,joy,nrc,NA
accomplished,consumado,positive,nrc,NA
accomplishment,logro,positive,nrc,NA
accord,acuerdo,positive,nrc,NA
accord,acuerdo,trust,nrc,NA
account,cuenta,trust,nrc,NA
accountability,responsabilidad,positive,nrc,NA
accountability,responsabilidad,trust,nrc,NA
accountable,explicable,positive,nrc,NA
accountable,explicable,trust,nrc,NA
accountant,contador,trust,nrc,NA
accounts,Cuentas,trust,nrc,NA
