text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"Claudio viene realizando un recorrido, por toda Venezuela, con un mensaje de unidad y integración para la transició… https://t.co/XcUCZc7vzI",FALSE,2,NA,2017-05-27T23:55:49Z,TRUE,NA,868616764732690434,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Galvizh,5,FALSE,FALSE,NA,NA
RT @Noticensura: ¡APOYA LA SALIDA INMEDIATA DE MADURO! Santos: Estamos interesados  en una transición pacífica en Venezuela https://t.co/Ad…,FALSE,0,NA,2017-05-27T23:55:41Z,FALSE,NA,868616732914716672,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Jorgeg99,4,TRUE,FALSE,NA,NA
RT @Noticensura: ¡APOYA LA SALIDA INMEDIATA DE MADURO! Santos: Estamos interesados  en una transición pacífica en Venezuela https://t.co/Ad…,FALSE,0,NA,2017-05-27T23:54:08Z,FALSE,NA,868616339128299524,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",edyanira,4,TRUE,FALSE,NA,NA
¡APOYA LA SALIDA INMEDIATA DE MADURO! Santos: Estamos interesados  en una transición pacífica en Venezuela https://t.co/AdOlABiqLb,FALSE,3,NA,2017-05-27T23:50:08Z,FALSE,NA,868615333678125059,NA,"<a href=""https://blastwit.com"" rel=""nofollow"">BlasTwit App</a>",Noticensura,4,FALSE,FALSE,NA,NA
Es ahora Venezuela! No hay para atrás! Estamos en transición.,FALSE,1,NA,2017-05-27T23:44:52Z,FALSE,NA,868614009930514433,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AthinaMarturet,1,FALSE,FALSE,NA,NA
"RT @sandro_duarte: @LuiFG Ya tenemos una funcionaría para el próximo gobierno de transición en Venezuela, ministra de Alimencion, Dios te b…",FALSE,0,NA,2017-05-27T23:34:46Z,FALSE,NA,868611467301572608,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RejonIsabel,9,TRUE,FALSE,NA,NA
RT @Noticensura: ¡APOYA LA SALIDA INMEDIATA DE MADURO! Santos: Estamos  interesados en una transición pacífica en Venezuela https://t.co/Ad…,FALSE,0,NA,2017-05-27T23:26:13Z,FALSE,NA,868609316202446849,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jlds1205,37,TRUE,FALSE,NA,NA
Venezuela: Es hora de un gobierno de transición - https://t.co/bnDK7XFcY7 https://t.co/ZRGA6rpXoI,FALSE,0,NA,2017-05-27T22:53:19Z,FALSE,NA,868601037690720257,NA,"<a href=""http://eju.tv"" rel=""nofollow"">eju.tv</a>",ejutv,0,FALSE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T22:47:40Z,FALSE,NA,868599614659858432,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",carmenabeldelac,33,TRUE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T22:36:48Z,FALSE,NA,868596880141422592,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",arymar574,33,TRUE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T22:24:50Z,FALSE,NA,868593867049897984,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ecollb,33,TRUE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T22:00:35Z,FALSE,NA,868587764786311168,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",tonyfuen,33,TRUE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T21:54:36Z,FALSE,NA,868586259635204098,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GriselMach,33,TRUE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T21:53:31Z,FALSE,NA,868585985633865728,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jvega2134,33,TRUE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T21:51:53Z,FALSE,NA,868585576823492609,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mayyoluz,33,TRUE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T21:50:24Z,FALSE,NA,868585201865240576,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",J_FRAN10,33,TRUE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T21:48:16Z,FALSE,NA,868584666886000642,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sonite51,33,TRUE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T21:46:31Z,FALSE,NA,868584224403718144,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",belcosan,33,TRUE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T21:45:17Z,FALSE,NA,868583914583076864,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",furia212,33,TRUE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T21:42:55Z,FALSE,NA,868583320078168064,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AlejandraGlezDL,33,TRUE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T21:42:31Z,FALSE,NA,868583218890633216,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",gab19492004,33,TRUE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T21:41:48Z,FALSE,NA,868583038992691200,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Cristhyn3000,33,TRUE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T21:41:19Z,FALSE,NA,868582915441139712,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",VenteVenezuela,33,TRUE,FALSE,NA,NA
RT @red_centinela: 70% de probabilidades que Maduro sea obligado a renunciar antes del final de su mandato https://t.co/ke4aAFUm2E vía @inf…,FALSE,0,NA,2017-05-27T21:24:39Z,FALSE,NA,868578723079098368,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dinodahetze,11,TRUE,FALSE,NA,NA
RT @Noticensura: ¡APOYA LA SALIDA INMEDIATA DE MADURO! Santos: Estamos  interesados en una transición pacífica en Venezuela https://t.co/Ad…,FALSE,0,NA,2017-05-27T20:37:26Z,FALSE,NA,868566840997490689,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sanes23,37,TRUE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T20:29:25Z,FALSE,NA,868564824543907840,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mcdesosnowsky,33,TRUE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T20:21:26Z,FALSE,NA,868562811756171269,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Erwin_reyesV,33,TRUE,FALSE,NA,NA
"RT @MariaClaudia_F: María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezuela #27Mayo",FALSE,0,NA,2017-05-27T20:08:37Z,FALSE,NA,868559588408393731,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",beliebermh,6,TRUE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T20:08:31Z,FALSE,NA,868559564228222976,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",humbertohidalg3,33,TRUE,FALSE,NA,NA
La transición al socialismo en Venezuela: ¿qué hacer?  https://t.co/XNdBothSLH,FALSE,0,NA,2017-05-27T20:05:42Z,FALSE,NA,868558852446400513,NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>",ForoProletario,0,FALSE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T20:00:57Z,FALSE,NA,868557657749295104,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ysabel19,33,TRUE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T19:59:35Z,FALSE,NA,868557313594056704,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Marte_Ven1,33,TRUE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T19:58:07Z,FALSE,NA,868556944901980160,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TrueDrResistenc,33,TRUE,FALSE,NA,NA
"RT @ReporteYa: @MariaClaudia_F #27May María Corina Machado: Vamos hacia la transición a la democracia, vamos a la reconstrucción de Venezue…",FALSE,0,NA,2017-05-27T19:56:07Z,FALSE,NA,868556442223169536,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PrensaMCM,33,TRUE,FALSE,NA,NA
